season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,RB,00-0038040,Zamir White,1.7,0.575,3.813,4.023,0.125,2.191,11.811,1.125,2.323,2.113,-1.198,-0.988
2023,1,RB,00-0038098,Pierre Strong,0.0,6.675,1.156,-0.176,-0.194,-0.023,2.714,6.675,0.176,1.156,6.499,5.519
2023,1,RB,00-0038120,Breece Hall,15.7,19.2,12.071,10.985,4.318,10.951,19.721,3.5,4.715,3.629,-1.215,-0.129
2023,1,RB,00-0038134,Kenneth Walker III,10.7,13.25,11.675,10.366,4.675,11.03,18.278,2.55,0.334,0.975,2.216,1.575
2023,1,WR,00-0028002,Randall Cobb,0.0,3.7,5.461,5.615,0.041,3.995,13.175,3.7,5.615,5.461,-1.915,-1.761
2023,1,WR,00-0029293,Marvin Jones,0.8,7.8,7.936,6.79,1.254,6.12,16.428,7.0,5.99,7.136,1.01,-0.136
2023,1,WR,00-0030035,Adam Thielen,3.2,6.625,7.416,7.48,1.297,7.042,16.291,3.425,4.28,4.216,-0.855,-0.791
2023,1,WR,00-0030068,Marquise Goodwin,0.0,6.5,7.024,6.807,0.218,5.525,15.409,6.5,6.807,7.024,-0.307,-0.524
2023,1,WR,00-0030279,Keenan Allen,14.2,20.0,17.537,17.608,6.073,14.408,27.594,5.8,3.408,3.337,2.392,2.463
2023,1,WR,00-0030431,Robert Woods,11.7,8.275,9.538,8.979,1.762,7.691,17.776,3.425,2.721,2.162,0.704,1.263
2023,1,WR,00-0030564,DeAndre Hopkins,13.5,11.5,11.942,11.99,3.077,9.801,21.975,2.0,1.51,1.558,0.49,0.442
2023,1,WR,00-0031235,Odell Beckham Jr.,5.7,8.525,9.432,8.676,2.465,9.14,18.674,2.825,2.976,3.732,-0.151,-0.907
2023,1,WR,00-0031236,Brandin Cooks,4.2,13.5,11.232,11.023,2.182,9.456,21.479,9.3,6.823,7.032,2.477,2.268
2023,1,WR,00-0031381,Davante Adams,12.6,14.225,12.955,13.069,3.586,10.775,23.491,1.625,0.469,0.355,1.156,1.27
2023,1,WR,00-0031408,Mike Evans,18.6,19.075,12.129,12.186,3.925,10.816,23.106,0.475,6.414,6.471,-5.939,-5.996
2023,1,WR,00-0031428,Allen Robinson,11.4,9.725,10.174,9.775,2.231,8.082,19.646,1.675,1.625,1.226,0.05,0.449
2023,1,WR,00-0031544,Amari Cooper,6.7,13.9,12.945,12.688,2.881,9.937,22.457,7.2,5.988,6.245,1.212,0.955
2023,1,WR,00-0031588,Stefon Diggs,26.2,11.35,11.964,13.342,2.912,11.57,23.049,14.85,12.858,14.236,1.992,0.614
2023,1,WR,00-0031763,DeAndre Carter,1.5,2.55,4.229,4.608,0.026,3.696,13.255,1.05,3.108,2.729,-2.058,-1.679
